00:30.698	ID:9	Broadcast message sent
00:30.698	ID:12	Broadcast message sent
00:30.699	ID:7	Broadcast message sent
00:30.699	ID:8	Broadcast message sent
00:40.675	ID:1	Send me a message
00:40.680	ID:8	Broadcast message sent 4
00:40.687	ID:12	Broadcast recv from 8 of 8 with id 4
00:40.687	ID:7	Broadcast recv from 8 of 8 with id 4
00:40.688	ID:9	Broadcast recv from 8 of 8 with id 4
00:40.688	ID:10	Broadcast recv from 8 of 8 with id 4
00:40.688	ID:11	Broadcast recv from 8 of 8 with id 4
00:40.690	ID:12	Broadcast message sent
00:40.690	ID:7	Broadcast message sent
00:40.690	ID:9	Broadcast message sent
00:40.690	ID:10	Broadcast message sent
00:40.690	ID:11	Broadcast message sent
00:50.675	ID:1	Send me a message
00:50.686	ID:6	Broadcast message sent 5
00:50.693	ID:4	Broadcast recv from 6 of 6 with id 5
00:50.693	ID:5	Broadcast recv from 6 of 6 with id 5
00:50.693	ID:2	Broadcast recv from 6 of 6 with id 5
00:50.694	ID:1	Broadcast recv from 6 of 6 with id 5
00:50.694	ID:3	Broadcast recv from 6 of 6 with id 5
00:50.696	ID:2	Broadcast message sent
00:50.696	ID:1	Broadcast message sent
00:50.696	ID:4	Broadcast message sent
00:50.696	ID:3	Broadcast message sent
00:50.696	ID:5	Broadcast message sent
00:50.702	ID:1	Send me a message
00:50.709	ID:4	Broadcast recv from 1 of 6 with id 5
00:50.709	ID:2	Broadcast recv from 1 of 6 with id 5
00:50.709	ID:6	Broadcast recv from 1 of 6 with id 5
00:50.709	ID:3	Broadcast recv from 1 of 6 with id 5
00:50.709	ID:5	Broadcast recv from 1 of 6 with id 5
00:50.712	ID:2	Broadcast message sent
00:50.712	ID:4	Broadcast message sent
00:50.712	ID:3	Broadcast message sent
00:50.712	ID:5	Broadcast message sent
01:00.698	ID:1	Send me a message
01:00.713	ID:5	Broadcast message sent 6
01:00.720	ID:2	Broadcast recv from 5 of 5 with id 6
01:00.720	ID:3	Broadcast recv from 5 of 5 with id 6
01:00.720	ID:6	Broadcast recv from 5 of 5 with id 6
01:00.720	ID:13	Broadcast recv from 5 of 5 with id 6
01:00.720	ID:1	Broadcast recv from 5 of 5 with id 6
01:00.721	ID:4	Broadcast recv from 5 of 5 with id 6
01:00.723	ID:3	Broadcast message sent
01:00.723	ID:13	Broadcast message sent
01:00.723	ID:2	Broadcast message sent
01:00.723	ID:6	Broadcast message sent
01:00.723	ID:1	Broadcast message sent
01:00.723	ID:4	Broadcast message sent
01:00.728	ID:1	Send me a message
01:00.731	ID:12	Broadcast recv from 13 of 5 with id 6
01:00.733	ID:12	Broadcast message sent
01:00.741	ID:8	Broadcast recv from 12 of 5 with id 6
01:00.741	ID:9	Broadcast recv from 12 of 5 with id 6
01:00.741	ID:10	Broadcast recv from 12 of 5 with id 6
01:00.741	ID:7	Broadcast recv from 12 of 5 with id 6
01:00.741	ID:11	Broadcast recv from 12 of 5 with id 6
01:00.741	ID:13	Broadcast recv from 12 of 5 with id 6
01:00.743	ID:8	Broadcast message sent
01:00.743	ID:10	Broadcast message sent
01:00.743	ID:7	Broadcast message sent
01:00.743	ID:11	Broadcast message sent
01:00.743	ID:9	Broadcast message sent
01:10.722	ID:1	Send me a message
01:10.726	ID:10	Broadcast message sent 7
01:10.734	ID:7	Broadcast recv from 10 of 10 with id 7
01:10.734	ID:11	Broadcast recv from 10 of 10 with id 7
01:10.734	ID:12	Broadcast recv from 10 of 10 with id 7
01:10.734	ID:8	Broadcast recv from 10 of 10 with id 7
01:10.734	ID:9	Broadcast recv from 10 of 10 with id 7
01:10.736	ID:7	Broadcast message sent
01:10.736	ID:11	Broadcast message sent
01:10.736	ID:12	Broadcast message sent
01:10.736	ID:8	Broadcast message sent
01:10.736	ID:9	Broadcast message sent
01:20.722	ID:1	Send me a message
01:20.728	ID:5	Broadcast message sent 8
01:20.736	ID:2	Broadcast recv from 5 of 5 with id 8
01:20.736	ID:3	Broadcast recv from 5 of 5 with id 8
01:20.736	ID:6	Broadcast recv from 5 of 5 with id 8
01:20.736	ID:13	Broadcast recv from 5 of 5 with id 8
